province,city_name,business_category,business_category_url
Ontario,Ottawa,"""Floor Refinishing, Laying & Resurfacing""",https://www.yellowpages.ca/search/si/1/%22Floor+Refinishing%2C+Laying+%26+Resurfacing%22/Ottawa+ON
Ontario,Ottawa,Oil Field Services,https://www.yellowpages.ca/search/si/1/Oil+Field+Services/Ottawa+ON
Ontario,Ottawa,Propane Gas Sales & Service,https://www.yellowpages.ca/search/si/1/Propane+Gas+Sales+%26+Service/Ottawa+ON
Ontario,Ottawa,Lawn Maintenance,https://www.yellowpages.ca/search/si/1/Lawn+Maintenance/Ottawa+ON
Ontario,Ottawa,Used Auto Parts & Supplies,https://www.yellowpages.ca/search/si/1/Used+Auto+Parts+%26+Supplies/Ottawa+ON
Ontario,Ottawa,Taxis,https://www.yellowpages.ca/search/si/1/Taxis/Ottawa+ON
Ontario,Ottawa,Retirement Homes & Communities,https://www.yellowpages.ca/search/si/1/Retirement+Homes+%26+Communities/Ottawa+ON
Ontario,Ottawa,Swimming Pool Contractors & Dealers,https://www.yellowpages.ca/search/si/1/Swimming+Pool+Contractors+%26+Dealers/Ottawa+ON
Ontario,Ottawa,Machine Shops,https://www.yellowpages.ca/search/si/1/Machine+Shops/Ottawa+ON
Ontario,Ottawa,Pumps,https://www.yellowpages.ca/search/si/1/Pumps/Ottawa+ON
Ontario,Ottawa,Jewellers & Jewellery Stores,https://www.yellowpages.ca/search/si/1/Jewellers+%26+Jewellery+Stores/Ottawa+ON
Ontario,Ottawa,Psychologists,https://www.yellowpages.ca/search/si/1/Psychologists/Ottawa+ON
Ontario,Ottawa,Estheticians,https://www.yellowpages.ca/search/si/1/Estheticians/Ottawa+ON
Ontario,Ottawa,Printers,https://www.yellowpages.ca/search/si/1/Printers/Ottawa+ON
Ontario,Ottawa,Appliance Repair & Service,https://www.yellowpages.ca/search/si/1/Appliance+Repair+%26+Service/Ottawa+ON
Ontario,Ottawa,"""Pet Grooming, Clipping & Washing""",https://www.yellowpages.ca/search/si/1/%22Pet+Grooming%2C+Clipping+%26+Washing%22/Ottawa+ON
Ontario,Ottawa,Podiatrists,https://www.yellowpages.ca/search/si/1/Podiatrists/Ottawa+ON
Ontario,Ottawa,Waste Bins & Containers,https://www.yellowpages.ca/search/si/1/Waste+Bins+%26+Containers/Ottawa+ON
Ontario,Ottawa,Steel Fabricators,https://www.yellowpages.ca/search/si/1/Steel+Fabricators/Ottawa+ON
Ontario,Ottawa,Tax Return Preparation,https://www.yellowpages.ca/search/si/1/Tax+Return+Preparation/Ottawa+ON
Ontario,Ottawa,Orthopedic Appliances,https://www.yellowpages.ca/search/si/1/Orthopedic+Appliances/Ottawa+ON
Ontario,Ottawa,Motels,https://www.yellowpages.ca/search/si/1/Motels/Ottawa+ON
Ontario,Ottawa,Furnaces,https://www.yellowpages.ca/search/si/1/Furnaces/Ottawa+ON
Ontario,Ottawa,Siding Contractors,https://www.yellowpages.ca/search/si/1/Siding+Contractors/Ottawa+ON
Ontario,Ottawa,Furniture Stores,https://www.yellowpages.ca/search/si/1/Furniture+Stores/Ottawa+ON
Ontario,Ottawa,Transmission,https://www.yellowpages.ca/search/si/1/Transmission/Ottawa+ON
Ontario,Brampton,Dentists,https://www.yellowpages.ca/search/si/1/Dentists/Brampton+ON
Ontario,Brampton,Lawyers,https://www.yellowpages.ca/search/si/1/Lawyers/Brampton+ON
Ontario,Brampton,Plumbers & Plumbing Contractors,https://www.yellowpages.ca/search/si/1/Plumbers+%26+Plumbing+Contractors/Brampton+ON
Ontario,Brampton,Electricians & Electrical Contractors,https://www.yellowpages.ca/search/si/1/Electricians+%26+Electrical+Contractors/Brampton+ON
Ontario,Brampton,Roofers,https://www.yellowpages.ca/search/si/1/Roofers/Brampton+ON
Ontario,Brampton,Auto Repair Garages,https://www.yellowpages.ca/search/si/1/Auto+Repair+Garages/Brampton+ON
Ontario,Brampton,Excavation Contractors,https://www.yellowpages.ca/search/si/1/Excavation+Contractors/Brampton+ON
Ontario,Brampton,Heating Contractors,https://www.yellowpages.ca/search/si/1/Heating+Contractors/Brampton+ON
Ontario,Brampton,Denturists,https://www.yellowpages.ca/search/si/1/Denturists/Brampton+ON
Ontario,Brampton,Landscape Contractors & Designers,https://www.yellowpages.ca/search/si/1/Landscape+Contractors+%26+Designers/Brampton+ON
Ontario,Brampton,General Contractors,https://www.yellowpages.ca/search/si/1/General+Contractors/Brampton+ON
Ontario,Brampton,Vehicle Towing,https://www.yellowpages.ca/search/si/1/Vehicle+Towing/Brampton+ON
Ontario,Brampton,Optometrists,https://www.yellowpages.ca/search/si/1/Optometrists/Brampton+ON
Ontario,Brampton,Veterinarians,https://www.yellowpages.ca/search/si/1/Veterinarians/Brampton+ON
Ontario,Brampton,Restaurants,https://www.yellowpages.ca/search/si/1/Restaurants/Brampton+ON
Ontario,Brampton,Paving Contractors,https://www.yellowpages.ca/search/si/1/Paving+Contractors/Brampton+ON
Ontario,Brampton,Tree Service,https://www.yellowpages.ca/search/si/1/Tree+Service/Brampton+ON
Ontario,Brampton,Home Improvements & Renovations,https://www.yellowpages.ca/search/si/1/Home+Improvements+%26+Renovations/Brampton+ON
Ontario,Brampton,Insurance,https://www.yellowpages.ca/search/si/1/Insurance/Brampton+ON
Ontario,Brampton,Air Conditioning Contractors,https://www.yellowpages.ca/search/si/1/Air+Conditioning+Contractors/Brampton+ON
Ontario,Brampton,Funeral Homes,https://www.yellowpages.ca/search/si/1/Funeral+Homes/Brampton+ON
Ontario,Brampton,Auto Body Repair & Painting Shops,https://www.yellowpages.ca/search/si/1/Auto+Body+Repair+%26+Painting+Shops/Brampton+ON
Ontario,Brampton,Concrete Contractors,https://www.yellowpages.ca/search/si/1/Concrete+Contractors/Brampton+ON
Ontario,Brampton,Notaries,https://www.yellowpages.ca/search/si/1/Notaries/Brampton+ON
Ontario,Brampton,Chiropractors DC,https://www.yellowpages.ca/search/si/1/Chiropractors+DC/Brampton+ON
Ontario,Brampton,Moving Services & Storage Facilities,https://www.yellowpages.ca/search/si/1/Moving+Services+%26+Storage+Facilities/Brampton+ON
Ontario,Brampton,Hairdressers & Beauty Salons,https://www.yellowpages.ca/search/si/1/Hairdressers+%26+Beauty+Salons/Brampton+ON
Ontario,Brampton,Pizza & Pizzerias,https://www.yellowpages.ca/search/si/1/Pizza+%26+Pizzerias/Brampton+ON
Ontario,Brampton,Septic Tank Cleaning,https://www.yellowpages.ca/search/si/1/Septic+Tank+Cleaning/Brampton+ON
Ontario,Brampton,Truck Repair & Service,https://www.yellowpages.ca/search/si/1/Truck+Repair+%26+Service/Brampton+ON
Ontario,Brampton,Self-Storage,https://www.yellowpages.ca/search/si/1/Self-Storage/Brampton+ON
